timestamp,max_visibility,roi_0_id,roi_0_edge_density,roi_0_visibility,roi_0_distance,roi_0_label,roi_1_id,roi_1_edge_density,roi_1_visibility,roi_1_distance,roi_1_label,roi_2_id,roi_2_edge_density,roi_2_visibility,roi_2_distance,roi_2_label
2025-04-24 10:26:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:26:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:27:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:27:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:27:25,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:27:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:27:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:27:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:28:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:28:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:28:25,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:28:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:28:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:28:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:29:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:29:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:29:25,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:29:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:29:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:29:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:30:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:30:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:30:25,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:30:35,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:30:45,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:30:55,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:31:05,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:31:15,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
2025-04-24 10:31:25,283.9,roi_0,2.76,97.2,100.0,A,roi_1,4.89,190.2,200.0,B,roi_2,5.36,283.9,300.0,XC
